sku,date,model,prediction,lower_80,upper_80
P105,2026-01-01,Gradient Boosting,41.651290896310634,38.393674670432986,44.90890712218828
P105,2026-01-02,Gradient Boosting,37.26900087917807,34.011384653300425,40.52661710505572
P105,2026-01-03,Gradient Boosting,22.2882197478049,19.03060352192725,25.545835973682546
P105,2026-01-04,Gradient Boosting,9.96270023700132,6.705084011123674,13.220316462878966
P105,2026-01-05,Gradient Boosting,41.21477811412346,37.957161888245814,44.47239434000111
P105,2026-01-06,Gradient Boosting,42.140433489481545,38.8828172636039,45.39804971535919
P105,2026-01-07,Gradient Boosting,42.397687091453705,39.14007086557606,45.65530331733135
P105,2026-01-08,Gradient Boosting,42.25926626573401,39.001650039856365,45.51688249161166
P105,2026-01-09,Gradient Boosting,37.25416160050676,33.996545374629115,40.51177782638441
P105,2026-01-10,Gradient Boosting,22.71985395052026,19.462237724642613,25.977470176397908
P105,2026-01-11,Gradient Boosting,10.560750474978336,7.30313424910069,13.818366700855982
P105,2026-01-12,Gradient Boosting,39.36781852218067,36.11020229630302,42.62543474805832
P105,2026-01-13,Gradient Boosting,42.33944332288921,39.08182709701156,45.59705954876686
P105,2026-01-14,Gradient Boosting,42.5067032695375,39.249087043659856,45.76431949541515
P105,2026-01-15,Gradient Boosting,42.76268678101021,39.50507055513256,46.02030300688786
P105,2026-01-16,Gradient Boosting,38.06572450066199,34.808108274784345,41.32334072653964
P105,2026-01-17,Gradient Boosting,23.243766412967503,19.986150187089855,26.50138263884515
P105,2026-01-18,Gradient Boosting,10.731944734175954,7.474328508298308,13.9895609600536
P105,2026-01-19,Gradient Boosting,41.656441972576395,38.39882574669875,44.91405819845404
P105,2026-01-20,Gradient Boosting,41.67926329174231,38.42164706586466,44.93687951761996
P105,2026-01-21,Gradient Boosting,41.18044225373476,37.92282602785711,44.43805847961241
P105,2026-01-22,Gradient Boosting,40.83283145101035,37.5752152251327,44.090447676888
P105,2026-01-23,Gradient Boosting,37.62741053474332,34.36979430886567,40.88502676062097
P105,2026-01-24,Gradient Boosting,23.128022955055435,19.870406729177787,26.385639180933083
P105,2026-01-25,Gradient Boosting,10.940037708271436,7.68242148239379,14.197653934149082
P105,2026-01-26,Gradient Boosting,40.063164497035054,36.805548271157406,43.3207807229127
P105,2026-01-27,Gradient Boosting,43.14482662223618,39.88721039635853,46.40244284811383
P105,2026-01-28,Gradient Boosting,42.61994547488925,39.3623292490116,45.8775617007669
P105,2026-01-29,Gradient Boosting,41.34550954327463,38.08789331739698,44.60312576915228
P105,2026-01-30,Gradient Boosting,36.79565189592776,33.538035670050114,40.05326812180541
