sku,date,model,prediction,lower_80,upper_80
P112,2026-01-01,Gradient Boosting,45.14468411651171,42.01093228837307,48.278435944650354
P112,2026-01-02,Gradient Boosting,41.675203031486305,38.54145120334766,44.80895485962495
P112,2026-01-03,Gradient Boosting,21.019069370090747,17.885317541952105,24.15282119822939
P112,2026-01-04,Gradient Boosting,7.296414704225173,4.162662876086531,10.430166532363813
P112,2026-01-05,Gradient Boosting,42.117640906949774,38.98388907881113,45.251392735088416
P112,2026-01-06,Gradient Boosting,41.42077181996918,38.28701999183054,44.554523648107825
P112,2026-01-07,Gradient Boosting,44.45875577231534,41.3250039441767,47.592507600453985
P112,2026-01-08,Gradient Boosting,44.12272743202855,40.988975603889905,47.25647926016719
P112,2026-01-09,Gradient Boosting,41.84162717094273,38.70787534280409,44.97537899908137
P112,2026-01-10,Gradient Boosting,25.418956822113323,22.28520499397468,28.552708650251965
P112,2026-01-11,Gradient Boosting,7.681577589859604,4.547825761720962,10.815329417998246
P112,2026-01-12,Gradient Boosting,41.96888784730422,38.835136019165574,45.10263967544286
P112,2026-01-13,Gradient Boosting,46.06554403295475,42.931792204816105,49.19929586109339
P112,2026-01-14,Gradient Boosting,46.78884016400129,43.65508833586265,49.922591992139935
P112,2026-01-15,Gradient Boosting,44.941814179981854,41.80806235184321,48.0755660081205
P112,2026-01-16,Gradient Boosting,43.590724554432875,40.45697272629423,46.72447638257152
P112,2026-01-17,Gradient Boosting,22.66547800324399,19.531726175105348,25.799229831382632
P112,2026-01-18,Gradient Boosting,7.711425448296219,4.577673620157578,10.84517727643486
P112,2026-01-19,Gradient Boosting,42.348111710194864,39.21435988205622,45.481863538333506
P112,2026-01-20,Gradient Boosting,43.04901133297214,39.9152595048335,46.182763161110785
P112,2026-01-21,Gradient Boosting,43.37570607262477,40.24195424448613,46.509457900763415
P112,2026-01-22,Gradient Boosting,40.9555184821072,37.82176665396856,44.089270310245844
P112,2026-01-23,Gradient Boosting,41.35108312594383,38.21733129780519,44.48483495408247
P112,2026-01-24,Gradient Boosting,22.311007725300335,19.177255897161693,25.444759553438978
P112,2026-01-25,Gradient Boosting,8.25459282277578,5.120840994637139,11.388344650914423
P112,2026-01-26,Gradient Boosting,45.05905365862147,41.92530183048283,48.192805486760115
P112,2026-01-27,Gradient Boosting,48.83003590229742,45.696284074158775,51.96378773043606
P112,2026-01-28,Gradient Boosting,47.23605025981813,44.102298431679486,50.36980208795677
P112,2026-01-29,Gradient Boosting,45.9977462101338,42.863994381995155,49.13149803827244
P112,2026-01-30,Gradient Boosting,43.71245871698981,40.578706888851166,46.84621054512845
