sku,date,model,prediction,lower_80,upper_80
P101,2026-01-01,Random Forest,170.8702314433793,157.2831014636518,184.45736142310682
P101,2026-01-02,Random Forest,155.74363961472886,142.15650963500136,169.33076959445637
P101,2026-01-03,Random Forest,92.33043383608347,78.74330385635596,105.91756381581098
P101,2026-01-04,Random Forest,35.16219529203477,21.57506531230726,48.749325271762274
P101,2026-01-05,Random Forest,174.5269071972688,160.9397772175413,188.1140371769963
P101,2026-01-06,Random Forest,175.92887452861584,162.34174454888833,189.51600450834334
P101,2026-01-07,Random Forest,177.3434811912408,163.7563512115133,190.93061117096832
P101,2026-01-08,Random Forest,178.89349212157825,165.30636214185074,192.48062210130576
P101,2026-01-09,Random Forest,153.87250759222135,140.28537761249385,167.45963757194886
P101,2026-01-10,Random Forest,90.86885047530517,77.28172049557766,104.45598045503267
P101,2026-01-11,Random Forest,35.0148335583488,21.42770357862129,48.601963538076305
P101,2026-01-12,Random Forest,176.94083884676994,163.35370886704243,190.52796882649744
P101,2026-01-13,Random Forest,176.4243585770717,162.8372285973442,190.0114885567992
P101,2026-01-14,Random Forest,177.4375471683329,163.8504171886054,191.02467714806042
P101,2026-01-15,Random Forest,176.1437192392143,162.5565892594868,189.7308492189418
P101,2026-01-16,Random Forest,157.80474217866654,144.21761219893904,171.39187215839405
P101,2026-01-17,Random Forest,91.76486377373463,78.17773379400712,105.35199375346214
P101,2026-01-18,Random Forest,35.48438007209128,21.89725009236377,49.071510051818784
P101,2026-01-19,Random Forest,179.88987432569004,166.30274434596254,193.47700430541755
P101,2026-01-20,Random Forest,177.24154822362775,163.65441824390024,190.82867820335525
P101,2026-01-21,Random Forest,177.17782812410726,163.59069814437976,190.76495810383477
P101,2026-01-22,Random Forest,177.31923714690507,163.73210716717756,190.90636712663257
P101,2026-01-23,Random Forest,155.75932874931695,142.17219876958944,169.34645872904446
P101,2026-01-24,Random Forest,89.54652123715067,75.95939125742316,103.13365121687818
P101,2026-01-25,Random Forest,35.54003559161717,21.952905611889662,49.127165571344676
P101,2026-01-26,Random Forest,178.97792003674883,165.39079005702132,192.56505001647633
P101,2026-01-27,Random Forest,178.003013541032,164.4158835613045,191.5901435207595
P101,2026-01-28,Random Forest,178.11475784252448,164.52762786279698,191.701887822252
P101,2026-01-29,Random Forest,177.28192420362856,163.69479422390106,190.86905418335607
P101,2026-01-30,Random Forest,166.69244850306995,153.10531852334245,180.27957848279746
P102,2026-01-01,Gradient Boosting,115.6813269423369,106.68121690421194,124.68143698046185
P102,2026-01-02,Gradient Boosting,107.6415768576562,98.64146681953125,116.64168689578116
P102,2026-01-03,Gradient Boosting,64.15092368874414,55.150813650619185,73.1510337268691
P102,2026-01-04,Gradient Boosting,29.313762835780853,20.31365279765589,38.313872873905815
P102,2026-01-05,Gradient Boosting,120.77925439229456,111.7791443541696,129.77936443041952
P102,2026-01-06,Gradient Boosting,127.5383092864215,118.53819924829654,136.53841932454645
P102,2026-01-07,Gradient Boosting,127.97181615985981,118.97170612173485,136.97192619798477
P102,2026-01-08,Gradient Boosting,124.32006514398974,115.31995510586478,133.3201751821147
P102,2026-01-09,Gradient Boosting,113.44037333486041,104.44026329673545,122.44048337298537
P102,2026-01-10,Gradient Boosting,66.50105757469808,57.50094753657312,75.50116761282304
P102,2026-01-11,Gradient Boosting,29.576976739041758,20.576866700916796,38.57708677716672
P102,2026-01-12,Gradient Boosting,123.66241644720765,114.66230640908269,132.66252648533262
P102,2026-01-13,Gradient Boosting,128.82740535249897,119.82729531437401,137.82751539062394
P102,2026-01-14,Gradient Boosting,122.21890741801744,113.21879737989248,131.2190174561424
P102,2026-01-15,Gradient Boosting,118.65236950568112,109.65225946755616,127.65247954380608
P102,2026-01-16,Gradient Boosting,110.37604007446174,101.37593003633678,119.3761501125867
P102,2026-01-17,Gradient Boosting,62.52278878285775,53.52267874473279,71.52289882098272
P102,2026-01-18,Gradient Boosting,27.969622801286466,18.969512763161504,36.96973283941143
P102,2026-01-19,Gradient Boosting,115.27498581227731,106.27487577415235,124.27509585040227
P102,2026-01-20,Gradient Boosting,124.55875772135434,115.55864768322938,133.5588677594793
P102,2026-01-21,Gradient Boosting,116.95489587679012,107.95478583866516,125.95500591491508
P102,2026-01-22,Gradient Boosting,115.28165777070598,106.28154773258102,124.28176780883093
P102,2026-01-23,Gradient Boosting,107.5968882038444,98.59677816571944,116.59699824196936
P102,2026-01-24,Gradient Boosting,59.53303008423276,50.532920046107805,68.53314012235772
P102,2026-01-25,Gradient Boosting,26.687147200141165,17.687037162016203,35.68725723826613
P102,2026-01-26,Gradient Boosting,112.12046417868218,103.12035414055723,121.12057421680714
P102,2026-01-27,Gradient Boosting,125.78560572559785,116.78549568747289,134.7857157637228
P102,2026-01-28,Gradient Boosting,119.92629788832659,110.92618785020163,128.92640792645156
P102,2026-01-29,Gradient Boosting,111.55152160364617,102.5514115655212,120.55163164177112
P102,2026-01-30,Gradient Boosting,106.61997127097666,97.6198612328517,115.62008130910162
P103,2026-01-01,Random Forest,57.897610384925684,53.48211460286079,62.31310616699058
P103,2026-01-02,Random Forest,57.72501539442983,53.30951961236494,62.140511176494726
P103,2026-01-03,Random Forest,30.98526534794181,26.569769565876918,35.4007611300067
P103,2026-01-04,Random Forest,12.128632097285802,7.713136315220909,16.544127879350697
P103,2026-01-05,Random Forest,58.62750441554005,54.21200863347516,63.04300019760495
P103,2026-01-06,Random Forest,59.85996677055636,55.44447098849147,64.27546255262125
P103,2026-01-07,Random Forest,59.07518274126016,54.65968695919526,63.49067852332505
P103,2026-01-08,Random Forest,57.40597028228895,52.99047450022405,61.82146606435384
P103,2026-01-09,Random Forest,57.22644114114769,52.810945359082794,61.64193692321258
P103,2026-01-10,Random Forest,30.64839697502931,26.23290119296442,35.0638927570942
P103,2026-01-11,Random Forest,12.064798042451747,7.649302260386854,16.48029382451664
P103,2026-01-12,Random Forest,55.90586315655744,51.49036737449254,60.32135893862233
P103,2026-01-13,Random Forest,59.22700086236215,54.81150508029725,63.64249664442704
P103,2026-01-14,Random Forest,56.729029646869385,52.31353386480449,61.14452542893428
P103,2026-01-15,Random Forest,57.95038785232462,53.53489207025972,62.36588363438951
P103,2026-01-16,Random Forest,57.34118974650513,52.925693964440235,61.756685528570024
P103,2026-01-17,Random Forest,29.97383216021451,25.55833637814962,34.3893279422794
P103,2026-01-18,Random Forest,11.998143692574574,7.582647910509682,16.413639474639467
P103,2026-01-19,Random Forest,58.92440393854825,54.50890815648336,63.33989972061315
P103,2026-01-20,Random Forest,58.48395551622532,54.06845973416043,62.89945129829022
P103,2026-01-21,Random Forest,59.16393765059362,54.74844186852872,63.57943343265851
P103,2026-01-22,Random Forest,58.89348296061164,54.47798717854675,63.30897874267654
P103,2026-01-23,Random Forest,58.10920545685074,53.69370967478584,62.52470123891563
P103,2026-01-24,Random Forest,32.01135043984147,27.595854657776577,36.42684622190637
P103,2026-01-25,Random Forest,12.363662656609508,7.948166874544615,16.7791584386744
P103,2026-01-26,Random Forest,59.862599764985255,55.44710398292036,64.27809554705014
P103,2026-01-27,Random Forest,60.71977050597315,56.30427472390826,65.13526628803804
P103,2026-01-28,Random Forest,61.154916424726885,56.73942064266199,65.57041220679177
P103,2026-01-29,Random Forest,58.642374391245504,54.22687860918061,63.0578701733104
P103,2026-01-30,Random Forest,58.229383894932894,53.813888112868,62.64487967699779
P104,2026-01-01,XGBoost,197.1836700439453,190.72630459311057,203.64103549478006
P104,2026-01-02,XGBoost,170.82017517089844,164.3628097200637,177.27754062173318
P104,2026-01-03,XGBoost,84.8074951171875,78.35012966635274,91.26486056802226
P104,2026-01-04,XGBoost,45.79984664916992,39.34248119833517,52.25721210000467
